State,PC No,PC Name,Winning Candidate,Winning Party,Runner-up Canddiate,Runner-up Party,Margin Votes,Results Status
Madhya Pradesh,26,INDORE,SHANKAR LALWANI,Bharatiya Janata Party,SANJAY S/O LAKSHMAN SOLANKI,Bahujan Samaj Party,1175092,Result Declared
Assam,2,Dhubri ,RAKIBUL HUSSAIN,Indian National Congress,MOHAMMED BADRUDDIN AJMAL,All India United Democratic Front,1012476,Result Declared
Madhya Pradesh,18,VIDISHA,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,PRATAPBHANU SHARMA,Indian National Congress,821408,Result Declared
Gujarat,25,Navsari,C R PATIL,Bharatiya Janata Party,NAISHADHBHAI BHUPATBHAI  DESAI,Indian National Congress,773551,Result Declared
Gujarat,6,Gandhinagar,AMIT SHAH,Bharatiya Janata Party,SONAL RAMANBHAI PATEL,Indian National Congress,744716,Result Declared
West Bengal,21,Diamond harbour,ABHISHEK BANERJEE,All India Trinamool Congress,ABHIJIT DAS (BOBBY),Bharatiya Janata Party,710930,Result Declared
Tripura,1,Tripura West,BIPLAB KUMAR DEB,Bharatiya Janata Party,ASISH KUMAR SAHA,Indian National Congress,611578,Result Declared
Gujarat,20,Vadodara,DR. HEMANG JOSHI,Bharatiya Janata Party,PADHIYAR  JASHPALSINH MAHENDRASINH (BAPU),Indian National Congress,582126,Result Declared
Chhattisgarh,8,RAIPUR,BRIJMOHAN AGRAWAL,Bharatiya Janata Party,VIKAS UPADHYAY,Indian National Congress,575285,Result Declared
Tamil Nadu,1,TIRUVALLUR,Sasikanth Senthil,Indian National Congress,"Balaganapathy, V. Pon",Bharatiya Janata Party,572155,Result Declared
